Name,DIY,Stack Size,Buy,Sell,Source,Source Notes,Version,Filename,Internal ID,Unique Entry ID
bamboo lattice fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceBamboo,3403,XaLnmQsQ47HfHQ9g5
barbed-wire fence,Yes,50,NFS,1980,Crafting,,1.0.0,ItemFenceBarbedWire,5213,dNgibaR9jFqaDwuDZ
brick fence,Yes,50,NFS,1200,Crafting,,1.0.0,ItemFenceWallRenga,3080,WAzanA7e5MREzJdMh
Bunny Day fence,Yes,50,NFS,2400,Crafting,,1.1.0a,ItemFenceEgg,12630,CLQGhAfSNykpxrh3a
corral fence,Yes,50,NFS,720,Crafting,,1.0.0,ItemFenceHorizontalWood,4349,rqwqYy7Aphvh5zBSA
country fence,Yes,50,NFS,720,Crafting,,1.0.0,ItemFenceLog,4350,twwkbWJ8YsoJEy3j8
hedge,Yes,50,NFS,55,Crafting,,1.2.0,ItemFenceIkegaki,12758,TphLYSh2MdogHdheg
imperial fence,Yes,50,NFS,1200,Crafting,,1.0.0,ItemFenceChinese,4354,fHqt7TXfbhfKnPbwG
iron fence,Yes,50,NFS,4500,Crafting,,1.0.0,ItemFenceSteel,4357,RL5hL24NbwzE7zv3R
iron-and-stone fence,Yes,50,NFS,3150,Crafting,,1.0.0,ItemFenceIronAndStone,5206,kjSa4R6JQz2DtWQ2C
lattice fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceLatiiceNatural,11712,qBrhYgaCnEiQYouP6
rope fence,Yes,50,NFS,3000,Crafting,,1.0.0,ItemFencePegRope,4352,TpruAQnqeeYcDxPRj
simple wooden fence,Yes,50,NFS,720,Crafting; Tom Nook,50 fences are given by Tom Nook after completing the three house plots during the main storyline,1.0.0,ItemFenceNatural,11711,bxF62vutvYBw9BTDT
spiky fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceSharply,4358,gYccyRpBzpFCLLW56
stone fence,Yes,50,NFS,600,Crafting,,1.0.0,ItemFenceStone,5212,ECNmTH3oh3SEDpHCr
straw fence,Yes,50,NFS,560,Crafting,,1.0.0,ItemFenceDriedStraw,4356,yp69uEZTdfS9CkisA
vertical-board fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceVerticalWood,3402,M9pkSgdAaKgQELi3E
wedding fence,Yes,50,NFS,411,Crafting,,1.2.0,ItemFenceJuneBride,12894,68uMh2zjCmeJukYhv
zen fence,Yes,50,NFS,3300,Crafting,,1.0.0,ItemFenceJapanese,5207,yZeqREzefxeSiLAaP﻿Name,Award Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward Tier 1,Reward Tier 2,Reward Tier 3,Reward Tier 4,Reward Tier 5,Reward Tier 6,Sequential,Version,Unique Entry ID
(island name) Miles!,Awarded when Nook Miles program is first unlocked,1,53,ImmigratetoIsland,Event,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,QvQq6d4qJgCiBkMLX
Clam and Collected,Number of clams you've dug up,24,63,DigShell,Fish,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,MsKyNAx2BBitXF4SQ
Trash Fishin',"Number of trash items (cans, tires, or boots) you've fished up",25,32,CatchTrash,Fish,3,3,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,gYpEcg4qf7X46Svfz
Cast Master,Number of fish you've caught in a single streak without any getting away,26,2,CatchFishContinuously,Fish,3,10,50,100,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,PcXyzjRR7mMRJMpWA
Dream House,Number of times you've expanded your home,27,82,ExtendMyHome,Event,5,1,2,5,6,7,500,1000,2000,3000,5000,0,Yes,1.0.0,FLDPYLE7KWu8S9uPg
Decorated Decorator,"Awarded the first time you get an ""S"" ranking from the HHA",28,40,GetSRankonHHA,Event,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,kzJaqFiCaRivejX2x
Hoard Reward,Number of furniture pieces you've placed in your house,29,78,PlaceFurnitureMyHouse,Event,5,5,15,30,100,150,300,1000,2000,3000,5000,0,Yes,1.0.0,k6RF4XJhEdk3DWupM
Good Things in Store!,Number of items you've placed in your home storage,30,77,HouseStorageItem,Event,5,20,50,100,200,300,300,1000,2000,3000,5000,0,Yes,1.0.0,vmFkmQFGyKNS6gPdo
Remarkable Remodeler,Number of times you've remodeled the outside appearance of your home,31,81,ReformMyHome,Event,3,1,3,5,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,ZqLiA9gGSKTBGZQgZ
Smile Isle,Number of villager requests you've fulfilled (such as returning lost items),32,59,AchieveVillagersQuest,Communication,5,1,10,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,2Cf5yBG3NFSeozMg2
Reaction Ruler,Number of reactions you've learned,33,31,FillReactionList,Communication,5,1,10,20,30,42,300,500,1000,2000,3000,0,Yes,1.0.0,GRKenaH9cZf7SF3io
Island Shutterbug,"Awarded the first time you take a photo using the camera app on the NookPhone (screenshot button does not count, must use the app)",34,75,TakePicture,Smartphone,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,amPim5PB25MTaEnZH
Edit Credit,"Awarded the first time you edit your Passport (title, comment, or photo)",35,87,UpdatePassport,Smartphone,1,1,0,0,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,97AnkL7nAoQsXaCR8
NookPhone Life,Awarded after the 10th time you open your NookPhone,36,76,BootPhoneBeginner,Smartphone,1,10,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,38g3QBF9r9HdzdhA5
That's One Smart Phone,Awarded after the 1000th time you open your NookPhone,37,56,BootPhone,Smartphone,1,1000,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,usRtbx9sTQwpwKzT3
Shop to It,Number of times you've ordered from the Nook Shopping catalog,38,16,BuyItemCatalog,Smartphone,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,7rQbwihnNhEFFZmQo
Growing Collection,Number of unique furniture pieces you've added to your catalog,39,15,FillCatalog,Smartphone,5,100,200,300,400,500,300,500,1000,2000,3000,0,Yes,1.0.0,nbEPYsfFJzwG8bozx
Nook Miles for Miles!,Number of Nook Miles+ goals you've completed,40,58,AchieveAppQuest,Smartphone,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6Qsg6ca6qcXfQJvd9
First-Time Buyer,Awarded the first time you purchase an item from a shop,41,12,BuyItemRcm,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,dRgaFTqnG9WJ3nDPj
Seller of Unwanted Stuff,Awarded the first time you sell and item to a shop,42,13,SellItemRcm,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,SaJbYEBdon4j2HiML
Moving Fees Paid!,Awarded when you pay off your initial loan using Nook Miles,43,33,PayImmigrationCost,Money,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,rQJoK5E25RSskQeW5
Bell Ringer,Number of total bells you've spent in shops,44,11,HowmuchBuyItem,Money,5,5000,50000,500000,2000000,5000000,300,500,1000,2000,3000,0,Yes,1.0.0,r5mJC5k8vYuZRkXJT
Miles for Stalkholders,Awarded the first time you purchase turnips,45,9,BuyKabu,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,AzYYmDqvumcZwmqFf
Cornering the Stalk Market,Number of total bells you've profited from selling turnips,46,10,HowmuchSellKabu,Money,5,1000,10000,100000,1000000,10000000,300,500,1000,2000,3000,0,Yes,1.0.0,gvMPEpKkGPLmEeDPe
No More Loan Payments!,Awarded after paying off your first house loan with bells,47,34,RepayLoan,Money,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,uhbojHTBeM2Cnfkuh
Bulletin-Board Benefit,Awarded the first time you post a message on your town bulletin board,48,83,PostMessageBoard,Communication,1,1,0,0,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,rZLyEe6QGk9G7sLTP
Popular Pen Pal,Number of letters you've sent,49,50,SendLetter,Communication,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,EJMKZDs8N5xGkfduP
Flea Flicker,Number of times you've caught fleas off a villager,50,26,CatchNomi,Insect,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,WRvG4EsvYQbqJupxi
Cicada Memories,Awarded the first time you catch a cicada shell,51,25,CatchSeminonukegara,Insect,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,t9vayZu88rPHrY79j
Netting Better!,Awarded the first time you catch five wasps in a row without running away or getting stung,52,71,CatchBeeContinuously,Insect,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,ojjJY4tQvSCs3BYda
Pit-y Party!,Awarded the first time you bury a pitfall seed,53,51,MakePitfall,HHA,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,MwQQ43gFXFky4Z2hG
Taking the Sting Out,Awarded the first time you get stung by a wasp,54,24,BeStungbyWasp,Negative,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,P82MkAcpWY9ZAQTnD
Faint of Heart,Awarded the first time you get knocked out by a Scorpion or Tarantula,55,27,BeStungbyPoisonousInsect,Negative,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,NwntrWkuaxtB8NoL9
Overcoming Pitfalls,Awarded the first time you fall into a pitfall hole,56,52,FallintoPitfall,Negative,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,DhKzQBem5HZytprbC
Faked Out!,Donated a fake piece of art,57,90,DonateFake,Negative,1,1,0,0,0,0,500,0,0,0,0,0,No,1.2.0,vakbzK5ihWAQR2aux
Lost Treasure,Awarded the first time a balloon present you shot lands in a body of water,58,80,DropPresentinWater,Negative,1,1,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,Y2kKBHN6kT7zxkTbm
It's Raining Treasure!,Number of balloons you've shot down with a slingshot,59,5,ShootDownBalloon,LandMaking,5,5,20,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,EEocBnCSkNM9ukMic
Fun with Fences,Awarded the first time you place a fence,60,89,BuildFence,LandMaking,1,20,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,fNCiNgcTMxFwqAzxN
Snowmaestro,Number of perfect snow-people you've built,61,45,MakePerfectSnowball,LandMaking,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,XcwvgbKXNWiLjmJDX
Wishes Come True,Number of shooting stars you've wished on.,62,85,PrayShootingStar,LandMaking,3,1,30,200,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,WcKhJsbYhwKKkCLqd
Exterior Decorator,Awarded the first time you place some furniture outside,63,64,PutFurnitureOutside,LandMaking,1,10,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,TW2jrhLDvtDhjZAKx
(island name) Icons,Awarded for changing your town tune and island flag for the first time,64,86,ChangeSymbol,LandMaking,2,0,0,0,0,0,500,500,2000,3000,5000,0,No,1.0.0,umpcvH5jtsWEir4rR
Island Designer,"Awarded the first time you use the Island Designer app to place a path, add/remove water, and build/destroy a cliff",65,88,ModifyIsland,LandMaking,3,0,0,0,0,0,500,1000,1000,3000,5000,0,No,1.0.0,NyFc3PaM4omZLfuic
Wispy Island Secrets,Number of times you've helped Wisp find the parts of his spirit,66,44,HelpGst,Communication,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,nSkcG8gSanouEFg9x
Gulliver's Travails,Number of times you've helped Gulliver fix his communicator,67,43,HelpGul,Communication,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,GfHAM2edJCAAN9xsF
K.K. Mania,Number of K.K. shows you've attended,68,17,GotoTotakekeShow,Communication,5,1,10,30,60,100,300,500,1000,2000,3000,0,Yes,1.0.0,aNZ2t8CH7dgpRefc3
True Patron of the Arts,Number of times you purchased art that turned out to be real,69,91,BuyatTsunekichiShop,Communication,3,1,10,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,YTpzbNPue2fAe3FdS
True Friends,Number of villagers you've become good friends with,70,54,BeFriendwithVillager,Communication,3,1,2,3,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ZD7xtJZTo9mGk9tTk
Birthday Celebration,Number of villager birthdays you've attended,71,47,CelebrateVillagersBithday,Communication,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,5TKJXZPvrkPLiQ6XC
Happy Birthday!,Awarded the first time you play on your character's birthday,72,46,ReachMyBirthday,Event,1,1,0,0,0,0,2000,500,1000,2000,3000,0,Yes,1.0.0,6vc2Rm2s3rE9EFZoM
Fishing Tourney!,Awarded the first time you attend a fishing tourney in each season,73,41,AttendFishingConvention,Fish,4,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,Z2C4JGKnsPJqhyDFM
Bug-Off!,Awarded the first time you attend a bug-off tourney in each season,74,42,AttendInsectConvention,Insect,4,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,HQJJaicSZQ79LstpA
Countdown Celebration,Awarded for attending the new year holiday event,75,48,AttendCountdownParty,Event,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,PTMwJTvnX3A4gxjN9
Making a Change,Awarded the first time you use a wardrobe to change your character's outfit,76,84,UseCloset,MyDesign,1,1,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,NBmsw6tCLZzWXcGcK
First Custom Design!,Awarded the first time you use the Custom Design app to edit or create a design,77,35,UseMydesign,MyDesign,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,44KNAwCSGuatXHYeh
Custom Design Pro!,Awarded the first time you use the Custom Design pro app to edit or create a design,78,36,UseMydesignPRO,MyDesign,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ch29owdtPq5Jd73xx
Paydirt!,Awarded the first time you dig up bells from a shining spot,79,60,DigBell,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ps4e4DFg2pnHvdvRm
Shady Shakedown,Number of furniture pieces you've found from shaking trees,80,79,FallFurnitureLeaf,Plant,5,1,10,20,50,100,300,1000,2000,3000,5000,0,Yes,1.0.0,o37WLZhgDMnMbDbPx
Golden Milestone,"Awarded for each unique golden tool you've equipped (shovel, net, fishing rod, watering can, axe, and slingshot)",81,39,CollectGoldTool,HHA,6,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,B9uYNJkiP5jqkn3SX
Island and Yourland,Number of times you've visited another player's island (does not count mystery islands using Nook Miles Tickets),82,18,VisitAnotherIsland,Communication,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,JofcHyqspqdvy92rH
Host the Most,Number of other players that have visited your island,83,19,InviteFriend,Communication,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,YdeZW248LnovzB7EB
Active Island Resident,Number of total unique days you've played the game,84,21,DayPlayed,Event,5,3,20,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,QgGe5XTYJhjfgbMHW﻿Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
acorn pochette,Brown,Yes,NFS,2400,Brown,Green,1x1,NA,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderAcorn0,7492,XiC7bNzTBAdb8zWwr
basket pack,Green,Yes,NFS,2400,Green,Green,1x1,NA,Crafting,,All Year,1.0.0,Simple,outdoorsy; work,No,Not for sale,BagBackpackBasket0,7506,BW764rj9aH3QL6GRH
bug cage,Green,No,NFS,122,Green,White,1x1,NA,Bug-Off,,All Year,1.0.0,Active,outdoorsy; vacation,No,Not for sale,BagShoulderCage0,7479,nrkEKkL46YsQYcYjp
Bunny Day bag,None,Yes,NFS,2400,Colorful,Colorful,1x1,NA,Crafting,,All Year,1.1.0a,Active,fairy tale; party; theatrical,No,Not for sale,BagBackpackEgg0,12447,YGofzAZknSTYWmfWM
butterfly backpack,Pink,No,NFS,210,Pink,Yellow,1x1,NA,Bug-Off,,All Year,1.0.0,Cute,everyday; formal; party,No,Not for sale,BagBackpackButterfly0,7502,unsmeHZemRaTnq62z
canvas backpack,White,No,1300,325,White,Orange,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagBackpackTote0,7509,ZtgYddBwpZfGMjewu
cherry-blossom pochette,Pink,Yes,NFS,2400,Pink,Pink,1x1,NA,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderCherryblossoms0,7490,wwkZdhj9HzxZiqHys
cloth shoulder bag,Blue,No,1400,350,Light blue,Light blue,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas0,7487,DzoRrArWrKtzn6Xzc
cloth shoulder bag,Orange,No,1400,350,Orange,Orange,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas1,12013,dcpCgBwji4QCYAy8k
cloth shoulder bag,Ivory,No,1400,350,White,White,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas2,12014,NfkYKg5NoaWKBEpzN
crossbody bag,Pink,No,700,175,Pink,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody0,7483,zXtyCFHwWjnChTami
crossbody bag,Green,No,700,175,Green,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody1,11980,tbfNwy8RmGztJdAnn
crossbody bag,Yellow,No,700,175,Yellow,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody2,11981,zX6ZX4puTojGuJgGj
crossbody bag,White,No,700,175,White,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody3,11982,FsyHb5QAf8DDvPC7y
crossbody boston bag,Red,No,1680,420,Red,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum0,7485,8MwDxuHHvYM3XJpmy
crossbody boston bag,Blue,No,1680,420,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum1,12011,w98ZrTQWiRMHyveaa
DAL backpack,Blue,No,NFS,1010,Blue,Black,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,1.0.0,Cool,outdoorsy; vacation,No,Not for sale,BagBackpackDal0,12131,3mGmqSPj5YPujiDgD
dry bag,Yellow,No,1040,260,Yellow,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry0,7471,iwTpuxykXjSBi8b9a
dry bag,Blue,No,1040,260,Blue,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry1,11964,cMoNDoZx2sdfD6Haz
evening bag,Pink,No,1250,312,Pink,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty0,7305,tZhGqzKpEeEweTZi7
evening bag,Blue,No,1250,312,Blue,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty1,11976,SoJkNi7GNiW28tYuG
evening bag,Black,No,1250,312,Black,Yellow,1x1,NA,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty2,11977,x9Z63uLS8cHdsoczj
extra-large backpack,Red,No,2100,525,Red,Red,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain0,7505,sjT2tZJCMpWQNmhTy
extra-large backpack,Green,No,2100,525,Green,Green,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain1,11971,MKeBKrETSTs4tyrg4
extra-large backpack,Black,No,2100,525,Black,Black,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain2,11972,HqReXLwGPigWMiJbS
extra-large backpack,Blue,No,2100,525,Blue,Blue,1x1,NA,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain3,11973,vvEqA5aMBGyycpQFz
